segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;ALOS3;ALLOS;ON      NM;0,500;;476.976.044;2025-07-16
;ABEV3;AMBEV S/A;ON;2,793;;4.394.835.131;2025-07-16
;ASAI3;ASSAI;ON      NM;0,656;;1.345.897.506;2025-07-16
;AURE3;AUREN;ON      NM;0,142;;323.738.747;2025-07-16
;AZZA3;AZZAS 2154;ON      NM;0,237;;136.643.320;2025-07-16
;B3SA3;B3;ON      NM;3,419;;5.200.055.464;2025-07-16
;BBSE3;BBSEGURIDADE;ON      NM;1,066;;637.332.335;2025-07-16
;BBDC3;BRADESCO;ON      N1;0,973;;1.469.064.981;2025-07-16
;BBDC4;BRADESCO;PN      N1;3,941;;5.111.682.020;2025-07-16
;BRAP4;BRADESPAR;PN      N1;0,193;;250.982.988;2025-07-16
;BBAS3;BRASIL;ON      NM;2,845;;2.842.613.858;2025-07-16
;BRKM5;BRASKEM;PNA     N1;0,121;;265.388.400;2025-07-16
;BRAV3;BRAVA;ON  ATZ NM;0,395;;451.311.960;2025-07-16
;BRFS3;BRF SA;ON      NM;0,837;;832.617.717;2025-07-16
;BPAC11;BTGP BANCO;UNT     N2;2,480;;1.287.247.964;2025-07-16
;CXSE3;CAIXA SEGURI;ON      NM;0,415;;600.000.000;2025-07-16
;CMIG4;CEMIG;PN      N1;0,945;;1.858.636.840;2025-07-16
;COGN3;COGNA ON;ON      NM;0,243;;1.872.454.628;2025-07-16
;CPLE6;COPEL;PNB     N2;0,958;;1.671.982.390;2025-07-16
;CSAN3;COSAN;ON      NM;0,355;;1.160.227.510;2025-07-16
;CPFE3;CPFL ENERGIA;ON      NM;0,340;;187.732.538;2025-07-16
;CMIN3;CSNMINERACAO;ON      N2;0,401;;1.646.519.336;2025-07-16
;CVCB3;CVC BRASIL;ON      NM;0,053;;450.926.127;2025-07-16
;CYRE3;CYRELA REALT;ON      NM;0,325;;257.174.951;2025-07-16
;DIRR3;DIRECIONAL;ON      NM;0,212;;108.541.907;2025-07-16
;ELET3;ELETROBRAS;ON      N1;3,403;;1.808.652.474;2025-07-16
;ELET6;ELETROBRAS;PNB     N1;0,557;;268.875.696;2025-07-16
;EMBR3;EMBRAER;ON      NM;2,606;;734.631.701;2025-07-16
;ENGI11;ENERGISA;UNT     N2;0,715;;326.175.300;2025-07-16
;ENEV3;ENEVA;ON      NM;1,231;;1.907.494.195;2025-07-16
