segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;ALOS3;ALLOS;ON      NM;0,491;;476.976.044;2025-07-14
;ABEV3;AMBEV S/A;ON;2,780;;4.394.835.131;2025-07-14
;ASAI3;ASSAI;ON      NM;0,639;;1.345.897.506;2025-07-14
;AURE3;AUREN;ON      NM;0,140;;323.738.747;2025-07-14
;AZZA3;AZZAS 2154;ON      NM;0,232;;136.643.320;2025-07-14
;B3SA3;B3;ON      NM;3,396;;5.200.055.464;2025-07-14
;BBSE3;BBSEGURIDADE;ON      NM;1,068;;637.332.335;2025-07-14
;BBDC3;BRADESCO;ON      N1;0,966;;1.469.064.981;2025-07-14
;BBDC4;BRADESCO;PN      N1;3,902;;5.111.682.020;2025-07-14
;BRAP4;BRADESPAR;PN      N1;0,199;;250.982.988;2025-07-14
;BBAS3;BRASIL;ON      NM;2,858;;2.842.613.858;2025-07-14
;BRKM5;BRASKEM;PNA     N1;0,123;;265.388.400;2025-07-14
;BRAV3;BRAVA;ON  ATZ NM;0,382;;451.311.960;2025-07-14
;BRFS3;BRF SA;ON      NM;0,871;;832.617.717;2025-07-14
;BPAC11;BTGP BANCO;UNT     N2;2,500;;1.287.247.964;2025-07-14
;CXSE3;CAIXA SEGURI;ON      NM;0,411;;600.000.000;2025-07-14
;CMIG4;CEMIG;PN      N1;0,955;;1.858.636.840;2025-07-14
;COGN3;COGNA ON;ON      NM;0,236;;1.872.454.628;2025-07-14
;CPLE6;COPEL;PNB     N2;0,944;;1.671.982.390;2025-07-14
;CSAN3;COSAN;ON      NM;0,352;;1.160.227.510;2025-07-14
;CPFE3;CPFL ENERGIA;ON      NM;0,340;;187.732.538;2025-07-14
;CMIN3;CSNMINERACAO;ON      N2;0,403;;1.646.519.336;2025-07-14
;CVCB3;CVC BRASIL;ON      NM;0,050;;450.926.127;2025-07-14
;CYRE3;CYRELA REALT;ON      NM;0,313;;257.174.951;2025-07-14
;DIRR3;DIRECIONAL;ON      NM;0,204;;108.541.907;2025-07-14
;ELET3;ELETROBRAS;ON      N1;3,382;;1.808.652.474;2025-07-14
;ELET6;ELETROBRAS;PNB     N1;0,552;;268.875.696;2025-07-14
;EMBR3;EMBRAER;ON      NM;2,596;;734.631.701;2025-07-14
;ENGI11;ENERGISA;UNT     N2;0,710;;326.175.300;2025-07-14
;ENEV3;ENEVA;ON      NM;1,201;;1.907.494.195;2025-07-14
;EGIE3;ENGIE BRASIL;ON      NM;0,505;;255.236.938;2025-07-14
;EQTL3;EQUATORIAL;ON      NM;2,033;;1.244.304.866;2025-07-14
;FLRY3;FLEURY;ON      NM;0,274;;455.988.366;2025-07-14
;GGBR4;GERDAU;PN      N1;1,038;;1.308.152.318;2025-07-14
;GOAU4;GERDAU MET;PN      N1;0,276;;623.866.944;2025-07-14
;HAPV3;HAPVIDA;ON      NM;0,478;;311.217.208;2025-07-14
;HYPE3;HYPERA;ON      NM;0,463;;360.057.207;2025-07-14
;IGTI11;IGUATEMI S.A;UNT     N1;0,208;;198.474.750;2025-07-14
;IRBR3;IRBBRASIL RE;ON      NM;0,173;;81.838.243;2025-07-14
;ISAE4;ISA ENERGIA;PN      N1;0,429;;395.801.044;2025-07-14
;ITSA4;ITAUSA;PN      N1;2,919;;5.856.697.902;2025-07-14
;ITUB4;ITAUUNIBANCO;PN      N1;7,910;;4.757.320.048;2025-07-14
;KLBN11;KLABIN S/A;UNT     N2;0,676;;765.785.673;2025-07-14
